unit,nace_r2,indic_se,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
PC,B-N,MMW_MED_ME_PP,SK	: 	: 	51.4 	50.7 	49.6 	49.4 	48.8 	46.5 	46.9 	46.3 	47.7 	47.5 	46.8 	43.5 	: 	: 	: 
PC,B-N,MMW_MED_ME_PP,TR	: 	: 	95.6 	75.8 	: 	: 	: 	92.4 	: 	: 	: 	83.5 	: 	: 	: 	: 	: 
PC,B-N,MMW_MED_ME_PP,UK	: 	: 	58.1 	57.6 	56.6 	55.9 	51.8 	51.3 	50.6 	51.0 	51.0 	50.1 	49.6 	49.8 	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,AL	: 	: 	50.2 	51.4 	49.0 	46.3 	45.9 	52.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,AT	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,BE	: 	: 	: 	: 	: 	: 	: 	44.9 	: 	: 	: 	44.7 	: 	: 	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,BG	: 	: 	43.2 	43.6 	43.5 	43.3 	41.2 	40.3 	39.0 	37.8 	35.3 	35.8 	38.3 	39.5 	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,CY	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,CZ	: 	: 	39.0 	37.9 	36.9 	35.5 	34.4 	32.8 	32.6 	31.7 	32.5 	33.3 	34.0 	35.0 	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,DE	40.6 	40.3 	40.8 	40.5 	41.7 	40.8 	41.8 	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,DK	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,EE	: 	: 	38.2 	41.7 	41.9 	38.6 	37.4 	36.2 	34.6 	33.5 	33.8 	35.6 	36.2 	34.9 	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	50.1 	40.4 	50.7 	48.4 	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,ES	: 	: 	45.6 	37.9 	36.9 	34.1 	33.8 	34.2 	34.3 	34.7 	34.6 	35.3 	35.1 	35.2 	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,FI	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,FR	: 	: 	: 	48.0 	47.7 	48.2 	47.1 	47.4 	47.9 	48.0 	47.0 	47.4 	47.9 	47.3 	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,HR	: 	: 	46.2 	44.3 	40.6 	40.2 	38.6 	37.8 	36.4 	35.6 	36.0 	36.5 	36.4 	36.3 	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,HU	: 	: 	43.7 	44.8 	45.9 	45.1 	45.3 	45.5 	45.1 	44.2 	39.1 	38.8 	38.6 	38.5 	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,IE	: 	: 	45.9 	45.1 	44.2 	44.4 	42.3 	42.7 	42.5 	42.8 	43.2 	42.9 	42.7 	43.6 	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,IS	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,IT	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,LT	: 	: 	45.7 	46.3 	48.2 	50.3 	46.6 	45.7 	47.3 	40.8 	41.1 	42.0 	40.5 	39.6 	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,LU	: 	47.1 	47.0 	46.7 	46.9 	46.4 	47.0 	47.6 	47.7 	46.9 	46.7 	45.9 	45.4 	: 	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,LV	: 	: 	42.3 	45.4 	43.7 	46.0 	46.9 	44.4 	42.1 	43.8 	45.1 	42.2 	40.9 	36.2 	: 	: 	: 
PC,B-S,MMW_MEAN_ME_PP,ME	: 	43.2 	42.9 	37.6 	37.7 	38.4 	39.7 	39.8 	39.7 	: 	: 	: 	: 	: 	: 	: 	: 
