currency,geo\time	2021S1 	2020S2 	2020S1 	2019S2 	2019S1 	2018S2 	2018S1 	2017S2 	2017S1 	2016S2 	2016S1 	2015S2 	2015S1 	2014S2 	2014S1 	2013S2 	2013S1 	2012S2 	2012S1 	2011S2 	2011S1 	2010S2 	2010S1 	2009S2 	2009S1 	2008S2 	2008S1 	2007S2 	2007S1 	2006S2 	2006S1 	2005S2 	2005S1 	2004S2 	2004S1 	2003S2 	2003S1 	2002S2 	2002S1 	2001S2 	2001S1 	2000S2 	2000S1 	1999S2 	1999S1 
NAC,IE	1723.80 	1706.90 	1656.20 	1656.20 	1656.20 	1613.95 	1613.95 	1563.25 	1563.25 	1546.35 	1546.35 	1461.85 	1461.85 	1461.85 	1461.85 	1461.85 	1461.85 	1461.85 	1461.85 	1461.85 	1461.85 	1461.85 	1461.85 	1461.85 	1461.85 	1461.85 	1461.85 	1461.85 	1402.70 	1292.85 	1292.85 	1292.85 	1183.00 	1183.00 	1073.15 	1073.15 	1073.15 	1008.93 	1008.93 	1008.93 	944.71 	944.71 	: z	: z	: z
NAC,IS	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
NAC,IT	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
NAC,LT	642.00 	607.00 	607.00 	555.00 	555.00 	400.00 	400.00 	380.00 	380.00 	380.00 	350.00 	325.00 	300.00 	289.62 	289.62 	289.62 	289.62 	231.70 	231.70 	231.70 	231.70 	231.70 	231.70 	231.70 	231.70 	231.70 	231.70 	202.73 	173.77 	173.77 	159.29 	159.29 	144.81 	144.81 	130.33 	124.54 	124.54 	124.54 	124.54 	124.54 	124.54 	124.54 	124.54 	124.54 	124.54 
NAC,LU	2201.93 	2141.99 	2141.99 	2089.75 	2089.75 	1998.59 	1998.59 	1998.59 	1998.59 	1922.96 	1922.96 	1922.96 	1922.96 	1921.03 	1921.03 	1874.19 	1874.19 	1801.49 	1801.49 	1757.56 	1757.56 	1724.81 	1682.76 	1682.76 	1641.74 	1609.53 	1570.28 	1570.28 	1570.28 	1503.42 	1503.42 	1466.77 	1466.77 	1402.96 	1402.96 	1368.74 	1368.74 	1322.47 	1290.21 	1290.21 	1258.75 	1220.88 	1191.13 	1162.08 	1162.08 
NAC,LV	500.00 	430.00 	430.00 	430.00 	430.00 	430.00 	430.00 	380.00 	380.00 	370.00 	370.00 	360.00 	360.00 	320.00 	320.00 	284.57 	284.57 	284.57 	284.57 	284.57 	284.57 	256.12 	256.12 	256.12 	256.12 	227.66 	227.66 	170.74 	170.74 	128.06 	128.06 	113.83 	113.83 	113.83 	113.83 	99.60 	99.60 	85.37 	85.37 	85.37 	71.14 	71.14 	71.14 	71.14 	71.14 
NAC,ME	331.33 	331.33 	331.33 	331.33 	288.05 	288.05 	288.05 	288.05 	288.05 	288.05 	288.05 	288.05 	288.05 	288.05 	288.05 	288.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NAC,MK	: 	: 	: 	: 	: 	17370.00 	17131.00 	17130.00 	14810.00 	14563.00 	13986.00 	13986.00 	13140.00 	13140.00 	13140.00 	12268.00 	12268.00 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
NAC,MT	784.68 	777.10 	777.10 	761.97 	761.97 	747.54 	747.54 	735.63 	735.63 	728.04 	728.04 	720.46 	720.46 	717.95 	717.95 	702.82 	702.82 	685.14 	685.14 	664.95 	664.95 	659.92 	659.92 	634.88 	634.88 	617.21 	617.21 	601.90 	601.90 	584.24 	584.24 	561.53 	561.53 	543.86 	543.86 	536.29 	536.29 	518.63 	518.63 	503.49 	503.49 	488.35 	488.35 	478.25 	478.25 
NAC,NL	1684.80 	1680.00 	1653.60 	1635.60 	1615.80 	1594.20 	1578.00 	1565.40 	1551.60 	1537.20 	1524.60 	1507.80 	1501.80 	1495.20 	1485.60 	1477.80 	1469.40 	1456.20 	1446.60 	1435.20 	1424.40 	1416.00 	1407.60 	1398.60 	1381.20 	1356.60 	1335.00 	1317.00 	1300.80 	1284.60 	1272.60 	1264.80 	1264.80 	1264.80 	1264.80 	1264.80 	1249.20 	1231.80 	1206.60 	1180.40 	1154.50 	1110.80 	1092.00 	1078.40 	1064.20 
